P41182	Q9Y618
P41182	Q15916
Q15916	Q9Y618
Q05516	Q9Y618
P24768	Q9Y618
P19525	P21605
P01375	P19438
P01375	P20333
P01374	P20333
P01374	P19438
P01375	P36941
P01374	P36941
P01374	P01375
P28908	P32971
P02786	Q30201
P02786	P02787
P05112	P24394
P01374	Q06643
P23510	P43489
P25942	P29965
P13232	P16871
P13232	P31785
P31785	P40933
P14784	P40933
P24394	P35225
P35225	P78552
P41273	Q07011
P15248	Q01113
P22301	Q13651
P35225	Q14627
P05113	Q01344
P10415	Q99933
P08700	P26951
P10145	P25025
P20809	P40189
P10145	Q16570
P20809	Q14626
P10145	P25024
P01563	P48551
P05230	P21802
P29459	P29460
P21781	P21802
P05230	P22607
P09038	P22607
P08620	P22607
P12034	P22607
P21781	P22607
P09038	P11362
P11487	P21802
P05230	Q8NI16
P09038	P22455
P05230	P11362
P05230	P22455
P01138	P08138
P01127	P09619
P01138	P04629
P04629	P08138
P23560	Q16620
P20783	Q16288
P40225	P40238
P01588	P19235
P04085	P16234
P01127	P16234
P35916	P49767
P15692	P17948
O14786	P15692
O14786	Q14563
O60462	P15692
P15692	P49763
P26441	P26992
P15018	P42702
P17948	P49763
P05231	P13725
O15467	P32302
O00626	P51679
P08476	P36896
P13725	P40189
P04141	Q99062
P21741	Q03348
P12643	P36894
P12643	Q13873
P36898	Q13873
P36894	P36898
P22004	P36898
P22004	P37172
P22004	P36895
P22004	P27040
P18075	Q13873
P12644	Q13873
P12644	Q05438
P36898	P43026
P08476	P27038
O15467	P32246
O15467	P41597
P22362	P51685
P32248	Q99731
P51677	Q99616
P51677	P80098
O15444	P51686
O14625	P49682
P09341	P25025
P13725	P42702
P05111	P27038
O15467	P51685
P12644	P36895
P36894	Q13873
P22362	P32246
P13500	P41597
P10147	P32246
P13236	P32246
P13501	P32246
P51685	Q92583
P10147	P51677
P13236	P51677
P13501	P51677
P32246	P80098
P51679	Q92583
O00585	P32248
P51671	P51677
P32246	Q16627
P51684	P78556
P10147	P51681
P41597	P80098
P13236	P51681
P51681	P80075
P32246	P80075
P41597	P80075
P13500	P32246
P46092	Q9Y4X3
P13501	P51681
P51681	P80098
P51681	Q99616
P13500	P51681
P51671	P51681
O00175	P51677
P51677	Q9Y258
P49238	P78423
O35903	P51686
P49682	Q07325
P10147	P32302
P02778	P49682
P13501	P32302
O43294	P10275
P61812	Q03167
P06401	Q13105
P04150	P07155
P15207	P63279
P08069	Q14620
Q02763	Q15389
P10600	P37173
P20783	P23560
P01903	P01912
P61769	Q30201
P49682	P51671
P49682	Q99616
P49682	P80098
P09341	P25024
P41597	Q99616
P09341	Q16570
P19875	P25025
P19876	P25025
P25025	P42830
P25024	P42830
P13236	P32302
O43927	P32302
P10275	P62826
O88850	P10275
P10275	P82094
P08476	P27037
P01137	P36897
P36897	P61812
P10600	P36897
P37023	P37173
P27037	P37023
P10600	P37023
P01137	Q03167
P12643	P27037
P21246	Q9UM73
P10275	Q13772
P23204	Q13772
P10275	Q03135
P05412	P10275
P03372	Q13105
P06401	Q9Y6X2
P03372	Q9Y6X2
Q92731	Q9Y6X2
O75925	P03372
O75925	Q92731
P38398	Q99728
P10275	Q99933
P10275	P24385
P03372	Q09472
P03372	P45481
P14416	P21333
P04150	Q12888
P03372	Q61026
P17301	Q14192
Q13683	Q14192
P26006	Q14192
P23497	Q13185
P23497	P45973
Q13185	Q14739
P45973	Q14739
P03372	P30681
P06401	P07155
P06401	P30681
P10275	P35269
P10275	P50613
P10275	P51946
P45481	Q15596
P10276	Q15596
P10275	Q15596
P10275	Q92993
P10275	P49116
P10275	P63279
P10275	P25491
P10275	P38398
P38398	Q61026
P10275	P46406
P01730	Q14005
P29459	Q99665
P43432	Q99665
P22301	Q08334
P17181	P32881
P01574	P17181
P01569	P48551
P01562	P48551
P32881	P48551
P01574	P48551
P08581	Q04756
P26927	Q04912
O15520	P21803
P11362	P12034
O95750	P22455
P01138	P35739
P23560	P35739
P30491	P61769
P01241	P10912
O19691	P61769
P60953-1	Q07960
P63098	Q08209
P14653	P41778
P42771	Q00534
P55273	Q00534
P00734	P00974
P26441	P42702
P41159	P48357
P09920	Q99062
P68036	Q05086
P20226	Q00403
P43405	Q9TUF9
P13501	P49682
P02775	P25025
O75925	P06401
P21333	P35462
P10747	P33681
P62937	Q79791
P02775	P25024
P01137	P37173
P21333	P41180
P04150	P30681
P36897	P37173
Q13105	Q92731
P03372	P07155
P06401	Q05086
P29459	P42701
P20071	P36897
P03372	Q15596
O15123	Q02763
P46092	Q9Z1X0
Q99616	Q9NPB9
P80098	Q9NPB9
P80075	Q9NPB9
P13500	Q9NPB9
P01137	P37023
P04150	P48552
P03372	Q05086
P10275	Q05086
P04150	Q05086
P10276	Q05086
P10275	P21333
P13747	P61769
P02593	P23634
P10599	P27695
P08709	P13726
P02568	P06396
P12694	P21953
P18464	P61769
P37108	P49458
P13804	P38117
P55899	P61769
P35269	Q00403
P01854	P12319
P22681	P68036
P01215	P01233
P28067	P28068
P03989	P61769
P32246	Q16663
O14836	Q9Y275
P50591	Q9UBN6
P36941	Q13114
P51677	Q07325
O14625	P51677
P02778	P51677
P17813	P37023
P37173	Q03167
P19438	Q12931
P01903	P04229
P52292	Q14974
P18075	P36898
P51677	Q16663
P25942	Q12933
P16070	P39171
P62877	Q13616
P63279	Q93068
O08816	O43516
O43516	P16333
O08816	P60953-1
O08816	P16333
O43312	P02568
O43312	P23468
P46061	P63279
P19878	P97369
P46061	Q93068
P41212	P63279
P41212	Q93068
P02570	P11171
P02570	Q9Y2J2
O43491	P02570
P02568	P02774
P02568	Q9Y4G6
O00291	P02568
O75146	P02568
P07737	P60010
Q08999	Q13547
P18846	P38398
O15151	P04637
P04637	P62988
O96017	P14737
O14757	P30304
O14757	P30305
P15927	P35244
O14757	P30307
